[ Info: 80_38: File for first layer exists [2, 2, 2], 19952623149689; loading ...
[ Info: 80_38: layer 2/2, base field no. 1/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 40/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 41/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 41/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 42/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 42/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 43/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 43/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 44/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 44/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 45/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 45/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 46/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 46/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 47/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 47/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 48/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 48/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 49/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 49/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 50/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 50/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 51/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 51/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 52/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 52/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 53/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 53/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 54/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 54/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 55/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 55/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 56/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 56/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 57/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 57/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 58/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 58/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 59/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 59/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 60/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 60/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 61/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 61/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 62/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 62/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 63/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 63/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 64/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 64/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 65/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 65/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 66/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 66/234, checking fields: 3
[ Info: 80_38: layer 2/2, base field no. 66/234, 1/3
[ Info: 80_38: layer 2/2, base field no. 66/234, 2/3
[ Info: 80_38: layer 2/2, base field no. 66/234, 3/3
[ Info: 80_38: layer 2/2, base field no. 67/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 67/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 68/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 68/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 69/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 69/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 70/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 70/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 71/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 71/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 72/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 72/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 73/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 73/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 74/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 74/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 75/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 75/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 76/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 76/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 77/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 77/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 78/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 78/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 79/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 79/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 80/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 80/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 81/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 81/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 82/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 82/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 83/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 83/234, checking fields: 2
[ Info: 80_38: layer 2/2, base field no. 83/234, 1/2
[ Info: 80_38: layer 2/2, base field no. 83/234, 2/2
[ Info: 80_38: layer 2/2, base field no. 84/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 84/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 85/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 85/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 86/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 86/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 87/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 87/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 88/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 88/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 89/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 89/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 90/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 90/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 91/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 91/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 92/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 92/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 93/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 93/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 94/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 94/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 95/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 95/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 96/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 96/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 97/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 97/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 98/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 98/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 99/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 99/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 100/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 100/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 101/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 101/234, checking fields: 2
[ Info: 80_38: layer 2/2, base field no. 101/234, 1/2
[ Info: 80_38: layer 2/2, base field no. 101/234, 2/2
[ Info: 80_38: layer 2/2, base field no. 102/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 102/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 103/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 103/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 104/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 104/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 105/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 105/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 106/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 106/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 107/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 107/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 108/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 108/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 109/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 109/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 110/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 110/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 111/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 111/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 112/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 112/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 113/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 113/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 114/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 114/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 115/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 115/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 116/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 116/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 117/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 117/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 118/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 118/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 119/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 119/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 120/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 120/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 121/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 121/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 122/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 122/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 123/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 123/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 124/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 124/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 125/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 125/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 126/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 126/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 127/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 127/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 128/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 128/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 129/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 129/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 130/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 130/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 131/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 131/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 132/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 132/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 133/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 133/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 134/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 134/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 135/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 135/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 136/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 136/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 137/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 137/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 138/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 138/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 139/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 139/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 140/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 140/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 141/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 141/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 142/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 142/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 143/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 143/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 144/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 144/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 145/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 145/234, checking fields: 3
[ Info: 80_38: layer 2/2, base field no. 145/234, 1/3
[ Info: 80_38: layer 2/2, base field no. 145/234, 2/3
[ Info: 80_38: layer 2/2, base field no. 145/234, 3/3
[ Info: 80_38: layer 2/2, base field no. 146/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 146/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 147/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 147/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 148/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 148/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 149/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 149/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 150/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 150/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 151/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 151/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 152/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 152/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 153/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 153/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 154/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 154/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 155/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 155/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 156/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 156/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 157/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 157/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 158/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 158/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 159/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 159/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 160/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 160/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 161/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 161/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 162/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 162/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 163/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 163/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 164/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 164/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 165/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 165/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 166/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 166/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 167/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 167/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 168/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 168/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 169/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 169/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 170/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 170/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 171/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 171/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 172/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 172/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 173/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 173/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 174/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 174/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 175/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 175/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 176/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 176/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 177/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 177/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 178/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 178/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 179/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 179/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 180/234, constructing abelian extensions
[ Info: 80_38: layer 2/2, base field no. 180/234, checking fields: 0
[ Info: 80_38: layer 2/2, base field no. 181/234, constructing abelian extensions
